,Mean pixel diff,Class,Model,Layer
0,0.07066768407821655,0,BPTT,2
1,0.035976946353912354,1,BPTT,2
2,0.044157207012176514,2,BPTT,2
3,0.05235898494720459,3,BPTT,2
4,0.05238717794418335,4,BPTT,2
5,0.04630237817764282,5,BPTT,2
6,0.03940063714981079,6,BPTT,2
7,0.04083281755447388,7,BPTT,2
8,0.031602323055267334,8,BPTT,2
9,0.030189573764801025,9,BPTT,2
10,0.025600314140319824,0,FPTT,2
11,0.023264408111572266,1,FPTT,2
12,0.01884758472442627,2,FPTT,2
13,0.03863382339477539,3,FPTT,2
14,0.011965930461883545,4,FPTT,2
15,0.016096889972686768,5,FPTT,2
16,0.009744465351104736,6,FPTT,2
17,0.018892526626586914,7,FPTT,2
18,0.007868528366088867,8,FPTT,2
19,0.020779550075531006,9,FPTT,2
